"game_id","event_index","home_skaters_alt","away_skaters_alt","game_strength_state_alt","home_g_change","away_g_change","event_description_alt"
2019020001,540,5,4,"5v4",NA,NA,"Auston Matthews shot blocked shot by Ron Hainsey"
2019020001,541,5,4,"5v4",NA,NA,"John Tavares Wide of Net"
2019020001,542,5,4,"5v4",NA,NA,NA
2019020001,543,5,4,"5v4",NA,NA,"Andreas Johnsson Wide of Net"
2019020001,544,5,4,"5v4",NA,NA,NA
2019020001,545,5,4,"5v4",NA,NA,"Anthony Duclair hit Tyson Barrie"
2019020001,546,5,4,"5v4",NA,NA,NA
2019020001,547,5,4,"5v4",NA,NA,"Tyson Barrie shot blocked shot by Tyler Ennis"
2019020001,548,5,4,"5v4",NA,NA,"Mark Borowiecki Wrist Shot saved by Frederik Andersen"
2019020001,549,5,5,"5v5",NA,NA,NA
2019020001,550,5,5,"5v5",NA,NA,NA
2019020001,551,5,5,"5v5",NA,NA,NA
2019020001,552,5,5,"5v5",NA,NA,NA
2019020001,553,5,5,"5v5",NA,NA,NA
2019020001,554,5,5,"5v5",NA,NA,"Nikita Zaitsev hit Frederik Gauthier"
2019020001,555,5,5,"5v5",NA,NA,"Dmytro Timashov Interference against Colin White"
2019020001,556,5,5,"5v5",NA,NA,NA
2019020001,557,4,5,"4v5",NA,NA,NA
2019020001,558,4,5,"4v5",NA,NA,"Brady Tkachuk faceoff won against Nicholas Shore"
2019020001,559,4,5,"4v5",NA,NA,NA
2019020001,560,4,5,"4v5",NA,NA,"Takeaway by Jake Muzzin"
2019020001,561,4,5,"4v5",NA,NA,NA
2019020001,562,4,5,"4v5",NA,NA,NA
2019020001,563,4,5,"4v5",NA,NA,NA
2019020001,564,4,5,"4v5",NA,NA,NA
2019020001,565,4,5,"4v5",NA,NA,NA
2019020001,566,4,5,"4v5",NA,NA,"Takeaway by Bobby Ryan"
2019020001,567,4,5,"4v5",NA,NA,NA
2019020001,568,4,5,"4v5",NA,NA,NA
2019020001,569,5,5,"5v5",NA,NA,NA
2019020001,570,5,5,"5v5",NA,NA,NA
2019020001,571,5,5,"5v5",NA,NA,"Artem Anisimov Wrist Shot saved by Frederik Andersen"
2019020001,572,5,5,"5v5",NA,NA,NA
2019020001,573,5,5,"5v5",NA,NA,NA
2019020001,574,5,5,"5v5",NA,NA,NA
2019020001,575,5,5,"5v5",NA,NA,"Auston Matthews faceoff won against Brady Tkachuk"
2019020001,576,5,5,"5v5",NA,NA,"Brady Tkachuk Wide of Net"
2019020001,577,5,5,"5v5",NA,NA,NA
2019020001,578,5,5,"5v5",NA,NA,NA
2019020001,579,5,5,"5v5",NA,NA,"Auston Matthews faceoff won against Colin White"
