"player","position","position_type","game_id","game_date","season","session","team","opponent","is_home","player_num","player_team_num"
"COLIN.WILSON","C","F",2019020011,"2019-10-03",20192020,"R","COL","CGY",1,22,"COL22"
"MARK.BARBERIO","D","D",2019020011,"2019-10-03",20192020,"R","COL","CGY",1,44,"COL44"
"VLADISLAV.KAMENEV","C","F",2019020011,"2019-10-03",20192020,"R","COL","CGY",1,81,"COL81"
"ANTTI.RAANTA","G","G",2019020012,"2019-10-03",20192020,"R","ARI","ANA",0,32,"ARI32"
"BARRETT.HAYTON","C","F",2019020012,"2019-10-03",20192020,"R","ARI","ANA",0,29,"ARI29"
"KYLE.CAPOBIANCO","D","D",2019020012,"2019-10-03",20192020,"R","ARI","ANA",0,75,"ARI75"
"MICHAEL.DEL.ZOTTO","D","D",2019020012,"2019-10-03",20192020,"R","ANA","ARI",1,44,"ANA44"
"NICOLAS.DESLAURIERS","L","F",2019020012,"2019-10-03",20192020,"R","ANA","ARI",1,20,"ANA20"
"BRYAN.LITTLE","C","F",2019020013,"2019-10-04",20192020,"R","WPG","N.J",0,18,"WPG18"
"CARL.DAHLSTROM","D","D",2019020013,"2019-10-04",20192020,"R","WPG","N.J",0,23,"WPG23"
"DAVID.GUSTAFSSON","C","F",2019020013,"2019-10-04",20192020,"R","WPG","N.J",0,19,"WPG19"
"CONNOR.CARRICK","D","D",2019020013,"2019-10-04",20192020,"R","N.J","WPG",1,5,"N.J5"
"JESPER.BOQVIST","C","F",2019020013,"2019-10-04",20192020,"R","N.J","WPG",1,90,"N.J90"
"KEVIN.ROONEY","C","F",2019020013,"2019-10-04",20192020,"R","N.J","WPG",1,16,"N.J16"
"TRAVIS.BOYD","C","F",2019020014,"2019-10-04",20192020,"R","WSH","NYI",0,72,"WSH72"
"TYLER.LEWINGTON","D","D",2019020014,"2019-10-04",20192020,"R","WSH","NYI",0,78,"WSH78"
"NOAH.DOBSON","D","D",2019020014,"2019-10-04",20192020,"R","NYI","WSH",1,8,"NYI8"
"ROSS.JOHNSTON","L","F",2019020014,"2019-10-04",20192020,"R","NYI","WSH",1,32,"NYI32"
"TOM.KUHNHACKL","R","F",2019020014,"2019-10-04",20192020,"R","NYI","WSH",1,14,"NYI14"
"DMYTRO.TIMASHOV","L","F",2019020015,"2019-10-04",20192020,"R","TOR","CBJ",0,41,"TOR41"
"MARTIN.MARINCIN","D","D",2019020015,"2019-10-04",20192020,"R","TOR","CBJ",0,52,"TOR52"
"NICK.SHORE","C","F",2019020015,"2019-10-04",20192020,"R","TOR","CBJ",0,26,"TOR26"
"DEAN.KUKAN","D","D",2019020015,"2019-10-04",20192020,"R","CBJ","TOR",1,46,"CBJ46"
"SONNY.MILANO","L","F",2019020015,"2019-10-04",20192020,"R","CBJ","TOR",1,22,"CBJ22"
"VLADISLAV.GAVRIKOV","D","D",2019020015,"2019-10-04",20192020,"R","CBJ","TOR",1,44,"CBJ44"
"BRENDAN.PERLINI","L","F",2019020016,"2019-10-04",20192020,"R","CHI","PHI",0,11,"CHI11"
"CALVIN.DE.HAAN","D","D",2019020016,"2019-10-04",20192020,"R","CHI","PHI",0,44,"CHI44"
"SAMUEL.MORIN","D","D",2019020016,"2019-10-04",20192020,"R","PHI","CHI",1,55,"PHI55"
"JIMMY.SCHULDT","D","D",2019020017,"2019-10-04",20192020,"R","VGK","S.J",0,4,"VGK4"
"NICOLAS.ROY","C","F",2019020017,"2019-10-04",20192020,"R","VGK","S.J",0,10,"VGK10"
"EVANDER.KANE","L","F",2019020017,"2019-10-04",20192020,"R","S.J","VGK",1,9,"S.J9"
"JONNY.BRODZINSKI","C","F",2019020017,"2019-10-04",20192020,"R","S.J","VGK",1,22,"S.J22"
"TIM.HEED","D","D",2019020017,"2019-10-04",20192020,"R","S.J","VGK",1,72,"S.J72"
"CONNOR.CARRICK","D","D",2019020018,"2019-10-05",20192020,"R","N.J","BUF",0,5,"N.J5"
"JOHN.HAYDEN","C","F",2019020018,"2019-10-05",20192020,"R","N.J","BUF",0,15,"N.J15"
"KEVIN.ROONEY","C","F",2019020018,"2019-10-05",20192020,"R","N.J","BUF",0,16,"N.J16"
"EVAN.RODRIGUES","C","F",2019020018,"2019-10-05",20192020,"R","BUF","N.J",1,71,"BUF71"
"JOHN.GILMOUR","D","D",2019020018,"2019-10-05",20192020,"R","BUF","N.J",1,58,"BUF58"
"CHRISTIAN.FOLIN","D","D",2019020019,"2019-10-05",20192020,"R","MTL","TOR",0,32,"MTL32"
"MIKE.REILLY","D","D",2019020019,"2019-10-05",20192020,"R","MTL","TOR",0,28,"MTL28"
"NICK.COUSINS","C","F",2019020019,"2019-10-05",20192020,"R","MTL","TOR",0,21,"MTL21"
"JASON.SPEZZA","C","F",2019020019,"2019-10-05",20192020,"R","TOR","MTL",1,19,"TOR19"
"JUSTIN.HOLL","D","D",2019020019,"2019-10-05",20192020,"R","TOR","MTL",1,3,"TOR3"
"NIC.PETAN","C","F",2019020019,"2019-10-05",20192020,"R","TOR","MTL",1,61,"TOR61"
"GREG.MCKEGG","C","F",2019020020,"2019-10-05",20192020,"R","NYR","OTT",0,14,"NYR14"
"MICHEAL.HALEY","C","F",2019020020,"2019-10-05",20192020,"R","NYR","OTT",0,38,"NYR38"
"CODY.GOLOUBEF","D","D",2019020020,"2019-10-05",20192020,"R","OTT","NYR",1,29,"OTT29"
"FILIP.CHLAPIK","C","F",2019020020,"2019-10-05",20192020,"R","OTT","NYR",1,78,"OTT78"
"JAN.RUTTA","D","D",2019020021,"2019-10-05",20192020,"R","T.B","FLA",0,44,"T.B44"
"DENIS.MALGIN","C","F",2019020021,"2019-10-05",20192020,"R","FLA","T.B",1,62,"FLA62"
"MARK.PYSYK","D","D",2019020021,"2019-10-05",20192020,"R","FLA","T.B",1,13,"FLA13"
"MARKUS.NUTIVAARA","D","D",2019020022,"2019-10-05",20192020,"R","CBJ","PIT",0,65,"CBJ65"
"SCOTT.HARRINGTON","D","D",2019020022,"2019-10-05",20192020,"R","CBJ","PIT",0,4,"CBJ4"
"SONNY.MILANO","L","F",2019020022,"2019-10-05",20192020,"R","CBJ","PIT",0,22,"CBJ22"
"CHAD.RUHWEDEL","D","D",2019020022,"2019-10-05",20192020,"R","PIT","CBJ",1,2,"PIT2"
"JOHN.MARINO","D","D",2019020022,"2019-10-05",20192020,"R","PIT","CBJ",1,6,"PIT6"
"JUUSO.RIIKOLA","D","D",2019020022,"2019-10-05",20192020,"R","PIT","CBJ",1,50,"PIT50"
"JOEL.HANLEY","D","D",2019020024,"2019-10-05",20192020,"R","DAL","STL",0,39,"DAL39"
"JOEL.L'ESPERANCE","R","F",2019020024,"2019-10-05",20192020,"R","DAL","STL",0,38,"DAL38"
"ROMAN.POLAK","D","D",2019020024,"2019-10-05",20192020,"R","DAL","STL",0,45,"DAL45"
"MACKENZIE.MACEACHERN","L","F",2019020024,"2019-10-05",20192020,"R","STL","DAL",1,28,"STL28"
"ROBERT.BORTUZZO","D","D",2019020024,"2019-10-05",20192020,"R","STL","DAL",1,41,"STL41"
"ROBERT.THOMAS","C","F",2019020024,"2019-10-05",20192020,"R","STL","DAL",1,18,"STL18"
"ANDREAS.ATHANASIOU","C","F",2019020025,"2019-10-05",20192020,"R","DET","NSH",0,72,"DET72"
"JONATHAN.ERICSSON","D","D",2019020025,"2019-10-05",20192020,"R","DET","NSH",0,52,"DET52"
"MADISON.BOWEY","D","D",2019020025,"2019-10-05",20192020,"R","DET","NSH",0,74,"DET74"
"DANIEL.CARR","L","F",2019020025,"2019-10-05",20192020,"R","NSH","DET",1,26,"NSH26"
"MATT.IRWIN","D","D",2019020025,"2019-10-05",20192020,"R","NSH","DET",1,52,"NSH52"
"NICK.SEELER","D","D",2019020026,"2019-10-05",20192020,"R","MIN","COL",0,55,"MIN55"
"VICTOR.RASK","C","F",2019020026,"2019-10-05",20192020,"R","MIN","COL",0,49,"MIN49"
"COLIN.WILSON","C","F",2019020026,"2019-10-05",20192020,"R","COL","MIN",1,22,"COL22"
"MARK.BARBERIO","D","D",2019020026,"2019-10-05",20192020,"R","COL","MIN",1,44,"COL44"
"VLADISLAV.KAMENEV","C","F",2019020026,"2019-10-05",20192020,"R","COL","MIN",1,81,"COL81"
"DAVID.BACKES","R","F",2019020027,"2019-10-05",20192020,"R","BOS","ARI",0,42,"BOS42"
"STEVEN.KAMPFER","D","D",2019020027,"2019-10-05",20192020,"R","BOS","ARI",0,44,"BOS44"
"BARRETT.HAYTON","C","F",2019020027,"2019-10-05",20192020,"R","ARI","BOS",1,29,"ARI29"
"KYLE.CAPOBIANCO","D","D",2019020027,"2019-10-05",20192020,"R","ARI","BOS",1,75,"ARI75"
"LOUI.ERIKSSON","L","F",2019020028,"2019-10-05",20192020,"R","VAN","CGY",0,21,"VAN21"
"OSCAR.FANTENBERG","D","D",2019020028,"2019-10-05",20192020,"R","VAN","CGY",0,5,"VAN5"
"AUSTIN.CZARNIK","C","F",2019020028,"2019-10-05",20192020,"R","CGY","VAN",1,27,"CGY27"
"MICHAEL.STONE","D","D",2019020028,"2019-10-05",20192020,"R","CGY","VAN",1,26,"CGY26"
"CARL.GRUNDSTROM","R","F",2019020029,"2019-10-05",20192020,"R","L.A","EDM",0,38,"L.A38"
"JOAKIM.RYAN","D","D",2019020029,"2019-10-05",20192020,"R","L.A","EDM",0,6,"L.A6"
"KURTIS.MACDERMID","D","D",2019020029,"2019-10-05",20192020,"R","L.A","EDM",0,56,"L.A56"
"ALEX.CHIASSON","R","F",2019020029,"2019-10-05",20192020,"R","EDM","L.A",1,39,"EDM39"
"BRANDON.MANNING","D","D",2019020029,"2019-10-05",20192020,"R","EDM","L.A",1,26,"EDM26"
"JOSH.ARCHIBALD","R","F",2019020029,"2019-10-05",20192020,"R","EDM","L.A",1,15,"EDM15"
"DYLAN.GAMBRELL","C","F",2019020030,"2019-10-05",20192020,"R","S.J","ANA",0,7,"S.J7"
"EVANDER.KANE","L","F",2019020030,"2019-10-05",20192020,"R","S.J","ANA",0,9,"S.J9"
"TIM.HEED","D","D",2019020030,"2019-10-05",20192020,"R","S.J","ANA",0,72,"S.J72"
"KORBINIAN.HOLZER","D","D",2019020030,"2019-10-05",20192020,"R","ANA","S.J",1,5,"ANA5"
"NICK.RITCHIE","L","F",2019020030,"2019-10-05",20192020,"R","ANA","S.J",1,37,"ANA37"
"SAM.STEEL","C","F",2019020030,"2019-10-05",20192020,"R","ANA","S.J",1,34,"ANA34"
"JOEL.HANLEY","D","D",2019020032,"2019-10-06",20192020,"R","DAL","DET",0,39,"DAL39"
"JOEL.L'ESPERANCE","R","F",2019020032,"2019-10-06",20192020,"R","DAL","DET",0,38,"DAL38"
"ROMAN.POLAK","D","D",2019020032,"2019-10-06",20192020,"R","DAL","DET",0,45,"DAL45"
"ANDREAS.ATHANASIOU","C","F",2019020032,"2019-10-06",20192020,"R","DET","DAL",1,72,"DET72"
"JONATHAN.ERICSSON","D","D",2019020032,"2019-10-06",20192020,"R","DET","DAL",1,52,"DET52"
"MADISON.BOWEY","D","D",2019020032,"2019-10-06",20192020,"R","DET","DAL",1,74,"DET74"
"BRYAN.LITTLE","C","F",2019020033,"2019-10-06",20192020,"R","WPG","NYI",0,18,"WPG18"
"DAVID.GUSTAFSSON","C","F",2019020033,"2019-10-06",20192020,"R","WPG","NYI",0,19,"WPG19"
"JOSH.MORRISSEY","D","D",2019020033,"2019-10-06",20192020,"R","WPG","NYI",0,44,"WPG44"
"NOAH.DOBSON","D","D",2019020033,"2019-10-06",20192020,"R","NYI","WPG",1,8,"NYI8"
"ROSS.JOHNSTON","L","F",2019020033,"2019-10-06",20192020,"R","NYI","WPG",1,32,"NYI32"
"TOM.KUHNHACKL","R","F",2019020033,"2019-10-06",20192020,"R","NYI","WPG",1,14,"NYI14"
"MACKENZIE.MACEACHERN","L","F",2019020034,"2019-10-07",20192020,"R","STL","TOR",0,28,"STL28"
"ROBERT.BORTUZZO","D","D",2019020034,"2019-10-07",20192020,"R","STL","TOR",0,41,"STL41"
"ROBERT.THOMAS","C","F",2019020034,"2019-10-07",20192020,"R","STL","TOR",0,18,"STL18"
"DMYTRO.TIMASHOV","L","F",2019020034,"2019-10-07",20192020,"R","TOR","STL",1,41,"TOR41"
"MARTIN.MARINCIN","D","D",2019020034,"2019-10-07",20192020,"R","TOR","STL",1,52,"TOR52"
"NICK.SHORE","C","F",2019020034,"2019-10-07",20192020,"R","TOR","STL",1,26,"TOR26"
"EVAN.RODRIGUES","C","F",2019020035,"2019-10-07",20192020,"R","BUF","CBJ",0,71,"BUF71"
"JOHN.GILMOUR","D","D",2019020035,"2019-10-07",20192020,"R","BUF","CBJ",0,58,"BUF58"
"DEAN.KUKAN","D","D",2019020035,"2019-10-07",20192020,"R","CBJ","BUF",1,46,"CBJ46"
"JOSH.ANDERSON","R","F",2019020035,"2019-10-07",20192020,"R","CBJ","BUF",1,77,"CBJ77"
"SCOTT.HARRINGTON","D","D",2019020035,"2019-10-07",20192020,"R","CBJ","BUF",1,4,"CBJ4"
"ALEX.CHIASSON","R","F",2019020037,"2019-10-08",20192020,"R","EDM","NYI",0,39,"EDM39"
"BRANDON.MANNING","D","D",2019020037,"2019-10-08",20192020,"R","EDM","NYI",0,26,"EDM26"
"COLBY.CAVE","C","F",2019020037,"2019-10-08",20192020,"R","EDM","NYI",0,12,"EDM12"
"JOHNNY.BOYCHUK","D","D",2019020037,"2019-10-08",20192020,"R","NYI","EDM",1,55,"NYI55"
"ROSS.JOHNSTON","L","F",2019020037,"2019-10-08",20192020,"R","NYI","EDM",1,32,"NYI32"
"TOM.KUHNHACKL","R","F",2019020037,"2019-10-08",20192020,"R","NYI","EDM",1,14,"NYI14"
"DAVID.GUSTAFSSON","C","F",2019020038,"2019-10-08",20192020,"R","WPG","PIT",0,19,"WPG19"
"JOSH.MORRISSEY","D","D",2019020038,"2019-10-08",20192020,"R","WPG","PIT",0,44,"WPG44"
"NELSON.NOGIER","D","D",2019020038,"2019-10-08",20192020,"R","WPG","PIT",0,62,"WPG62"
"ANDREW.AGOZZINO","L","F",2019020038,"2019-10-08",20192020,"R","PIT","WPG",1,26,"PIT26"
"CHAD.RUHWEDEL","D","D",2019020038,"2019-10-08",20192020,"R","PIT","WPG",1,2,"PIT2"
"JUUSO.RIIKOLA","D","D",2019020038,"2019-10-08",20192020,"R","PIT","WPG",1,50,"PIT50"
"DENIS.GURIANOV","R","F",2019020039,"2019-10-08",20192020,"R","DAL","WSH",0,34,"DAL34"
"JOEL.HANLEY","D","D",2019020039,"2019-10-08",20192020,"R","DAL","WSH",0,39,"DAL39"
"ROMAN.POLAK","D","D",2019020039,"2019-10-08",20192020,"R","DAL","WSH",0,45,"DAL45"
"NIC.DOWD","C","F",2019020039,"2019-10-08",20192020,"R","WSH","DAL",1,26,"WSH26"
"KORBINIAN.HOLZER","D","D",2019020040,"2019-10-08",20192020,"R","ANA","DET",0,5,"ANA5"
"MAX.COMTOIS","L","F",2019020040,"2019-10-08",20192020,"R","ANA","DET",0,53,"ANA53"
"NICOLAS.DESLAURIERS","L","F",2019020040,"2019-10-08",20192020,"R","ANA","DET",0,20,"ANA20"
"ALEX.BIEGA","D","D",2019020040,"2019-10-08",20192020,"R","DET","ANA",1,3,"DET3"
"EVGENY.SVECHNIKOV","L","F",2019020040,"2019-10-08",20192020,"R","DET","ANA",1,37,"DET37"
"DANIL.YURTAYKIN","L","F",2019020041,"2019-10-08",20192020,"R","S.J","NSH",0,75,"S.J75"
"MARCUS.SORENSEN","L","F",2019020041,"2019-10-08",20192020,"R","S.J","NSH",0,20,"S.J20"
"TIM.HEED","D","D",2019020041,"2019-10-08",20192020,"R","S.J","NSH",0,72,"S.J72"
"DAN.HAMHUIS","D","D",2019020041,"2019-10-08",20192020,"R","NSH","S.J",1,5,"NSH5"
"DANIEL.CARR","L","F",2019020041,"2019-10-08",20192020,"R","NSH","S.J",1,26,"NSH26"
"AUSTIN.WAGNER","L","F",2019020042,"2019-10-08",20192020,"R","L.A","CGY",0,51,"L.A51"
"CARL.GRUNDSTROM","R","F",2019020042,"2019-10-08",20192020,"R","L.A","CGY",0,38,"L.A38"
"JOAKIM.RYAN","D","D",2019020042,"2019-10-08",20192020,"R","L.A","CGY",0,6,"L.A6"
"AUSTIN.CZARNIK","C","F",2019020042,"2019-10-08",20192020,"R","CGY","L.A",1,27,"CGY27"
"MICHAEL.STONE","D","D",2019020042,"2019-10-08",20192020,"R","CGY","L.A",1,26,"CGY26"
"PAR.LINDHOLM","C","F",2019020043,"2019-10-08",20192020,"R","BOS","VGK",0,26,"BOS26"
"STEVEN.KAMPFER","D","D",2019020043,"2019-10-08",20192020,"R","BOS","VGK",0,44,"BOS44"
"JIMMY.SCHULDT","D","D",2019020043,"2019-10-08",20192020,"R","VGK","BOS",1,4,"VGK4"
"NICOLAS.ROY","C","F",2019020043,"2019-10-08",20192020,"R","VGK","BOS",1,10,"VGK10"
"BRETT.KULAK","D","D",2019020044,"2019-10-09",20192020,"R","MTL","BUF",0,17,"MTL17"
"CALE.FLEURY","D","D",2019020044,"2019-10-09",20192020,"R","MTL","BUF",0,20,"MTL20"
"NICK.COUSINS","C","F",2019020044,"2019-10-09",20192020,"R","MTL","BUF",0,21,"MTL21"
"CONOR.SHEARY","L","F",2019020044,"2019-10-09",20192020,"R","BUF","MTL",1,43,"BUF43"
"JOHN.GILMOUR","D","D",2019020044,"2019-10-09",20192020,"R","BUF","MTL",1,58,"BUF58"
"JESPER.BOQVIST","C","F",2019020045,"2019-10-09",20192020,"R","N.J","PHI",0,90,"N.J90"
"MIRCO.MUELLER","D","D",2019020045,"2019-10-09",20192020,"R","N.J","PHI",0,25,"N.J25"
"PAVEL.ZACHA","C","F",2019020045,"2019-10-09",20192020,"R","N.J","PHI",0,37,"N.J37"
"SAMUEL.MORIN","D","D",2019020045,"2019-10-09",20192020,"R","PHI","N.J",1,55,"PHI55"
"AUSTIN.WAGNER","L","F",2019020046,"2019-10-09",20192020,"R","L.A","VAN",0,51,"L.A51"
"JOAKIM.RYAN","D","D",2019020046,"2019-10-09",20192020,"R","L.A","VAN",0,6,"L.A6"
"KURTIS.MACDERMID","D","D",2019020046,"2019-10-09",20192020,"R","L.A","VAN",0,56,"L.A56"
"LOUI.ERIKSSON","L","F",2019020046,"2019-10-09",20192020,"R","VAN","L.A",1,21,"VAN21"
"OSCAR.FANTENBERG","D","D",2019020046,"2019-10-09",20192020,"R","VAN","L.A",1,5,"VAN5"
"JAN.RUTTA","D","D",2019020047,"2019-10-10",20192020,"R","T.B","TOR",0,44,"T.B44"
"DMYTRO.TIMASHOV","L","F",2019020047,"2019-10-10",20192020,"R","TOR","T.B",1,41,"TOR41"
"MARTIN.MARINCIN","D","D",2019020047,"2019-10-10",20192020,"R","TOR","T.B",1,52,"TOR52"
"NICK.SHORE","C","F",2019020047,"2019-10-10",20192020,"R","TOR","T.B",1,26,"TOR26"
"ALEX.BIEGA","D","D",2019020048,"2019-10-10",20192020,"R","DET","MTL",0,3,"DET3"
"EVGENY.SVECHNIKOV","L","F",2019020048,"2019-10-10",20192020,"R","DET","MTL",0,37,"DET37"
"BRETT.KULAK","D","D",2019020048,"2019-10-10",20192020,"R","MTL","DET",1,17,"MTL17"
"CALE.FLEURY","D","D",2019020048,"2019-10-10",20192020,"R","MTL","DET",1,20,"MTL20"
"NICK.COUSINS","C","F",2019020048,"2019-10-10",20192020,"R","MTL","DET",1,21,"MTL21"
"ALEX.CHIASSON","R","F",2019020049,"2019-10-10",20192020,"R","EDM","N.J",0,39,"EDM39"
"BRANDON.MANNING","D","D",2019020049,"2019-10-10",20192020,"R","EDM","N.J",0,26,"EDM26"
"COLBY.CAVE","C","F",2019020049,"2019-10-10",20192020,"R","EDM","N.J",0,12,"EDM12"
"ANDY.GREENE","D","D",2019020049,"2019-10-10",20192020,"R","N.J","EDM",1,6,"N.J6"
"JESPER.BOQVIST","C","F",2019020049,"2019-10-10",20192020,"R","N.J","EDM",1,90,"N.J90"
"JOHN.HAYDEN","C","F",2019020049,"2019-10-10",20192020,"R","N.J","EDM",1,15,"N.J15"
"MAX.COMTOIS","L","F",2019020050,"2019-10-10",20192020,"R","ANA","PIT",0,53,"ANA53"
"MICHAEL.DEL.ZOTTO","D","D",2019020050,"2019-10-10",20192020,"R","ANA","PIT",0,44,"ANA44"
"NICOLAS.DESLAURIERS","L","F",2019020050,"2019-10-10",20192020,"R","ANA","PIT",0,20,"ANA20"
"CHAD.RUHWEDEL","D","D",2019020050,"2019-10-10",20192020,"R","PIT","ANA",1,2,"PIT2"
"ERIK.GUDBRANSON","D","D",2019020050,"2019-10-10",20192020,"R","PIT","ANA",1,44,"PIT44"
"JUUSO.RIIKOLA","D","D",2019020050,"2019-10-10",20192020,"R","PIT","ANA",1,50,"PIT50"
"CARL.GUNNARSSON","D","D",2019020051,"2019-10-10",20192020,"R","STL","OTT",0,4,"STL4"
"MACKENZIE.MACEACHERN","L","F",2019020051,"2019-10-10",20192020,"R","STL","OTT",0,28,"STL28"
"ROBERT.THOMAS","C","F",2019020051,"2019-10-10",20192020,"R","STL","OTT",0,18,"STL18"
"CODY.GOLOUBEF","D","D",2019020051,"2019-10-10",20192020,"R","OTT","STL",1,29,"OTT29"
"MIKKEL.BOEDKER","L","F",2019020051,"2019-10-10",20192020,"R","OTT","STL",1,89,"OTT89"
"NIC.DOWD","C","F",2019020052,"2019-10-10",20192020,"R","WSH","NSH",0,26,"WSH26"
"DAN.HAMHUIS","D","D",2019020052,"2019-10-10",20192020,"R","NSH","WSH",1,5,"NSH5"
"ROCCO.GRIMALDI","C","F",2019020052,"2019-10-10",20192020,"R","NSH","WSH",1,23,"NSH23"
"NICK.SEELER","D","D",2019020053,"2019-10-10",20192020,"R","MIN","WPG",0,55,"MIN55"
"VICTOR.RASK","C","F",2019020053,"2019-10-10",20192020,"R","MIN","WPG",0,49,"MIN49"
"CARL.DAHLSTROM","D","D",2019020053,"2019-10-10",20192020,"R","WPG","MIN",1,23,"WPG23"
